date,vix,SPX_r,SPX_rv,SPX_rk
1996-01-03,12.1,0.001466689,1.21937E-05,1.19428E-05
1996-01-04,13.78,-0.005620533,5.38482E-05,5.74247E-05
1996-01-05,13.58,-0.002091525,2.84415E-05,3.06353E-05
1996-01-08,13.11,0.003774537,2.23499E-06,2.25543E-06
1996-01-09,15.21,-0.01543067,3.59956E-05,3.59539E-05
1996-01-10,16.88,-0.017158136,5.65608E-05,5.56339E-05
1996-01-11,15.42,0.006012326,3.28405E-05,3.31136E-05
1996-01-12,15.3,-0.000282319,4.84378E-05,4.73011E-05
1996-01-15,14.99,-0.004594724,1.74174E-05,1.95403E-05
1996-01-16,14.09,0.014198501,3.33745E-05,3.0716E-05
1996-01-17,14.25,-0.00311401,4.42111E-05,4.62631E-05
1996-01-18,13.58,0.003410077,1.81621E-05,1.87706E-05
1996-01-19,12.7,0.005772211,1.09142E-05,1.13092E-05
1996-01-22,13.34,0.001699069,1.59824E-05,1.65964E-05
1996-01-23,13.56,0.00052221,1.10863E-05,1.15107E-05
1996-01-24,12.54,0.010451926,1.51804E-05,1.59581E-05
1996-01-25,12.94,-0.004271436,1.80042E-05,1.88171E-05
1996-01-26,12,0.007286036,1.17557E-05,1.23226E-05
1996-01-29,12.19,0.00433666,7.22399E-06,7.52869E-06
1996-01-30,12.42,0.009586088,1.00771E-05,1.05454E-05
1996-01-31,12.53,0.008913109,3.09754E-05,3.28882E-05
1996-02-01,12.65,0.00359642,1.10154E-05,1.07805E-05
1996-02-02,13.23,-0.003328992,2.0174E-05,2.21294E-05
1996-02-05,13.46,0.007911744,1.80435E-05,1.84164E-05
1996-02-06,14.59,0.007865122,1.8095E-05,1.80678E-05
1996-02-07,14.11,0.005604504,1.90739E-05,1.97539E-05
1996-02-08,13.89,0.009164815,2.47868E-05,2.54241E-05
1996-02-09,14.63,0.000350821,5.40017E-05,5.50708E-05
1996-02-12,14.69,0.007808149,2.05723E-05,2.07275E-05
1996-02-13,17.12,-0.001135529,4.77436E-05,5.19378E-05
1996-02-14,15.59,-0.007679653,3.75047E-05,4.04733E-05
1996-02-15,16.13,-0.005695055,2.02873E-05,2.09075E-05
1996-02-16,15.37,-0.004585682,2.37065E-05,2.53055E-05
1996-02-20,16.8,-0.013415517,3.71118E-05,3.89877E-05
1996-02-21,14.47,0.012659478,2.77356E-05,2.93825E-05
1996-02-22,14.56,0.015849163,2.04862E-05,2.12357E-05
1996-02-23,14.78,0.000440485,6.26213E-05,6.262E-05
1996-02-26,16.38,-0.012684319,5.2462E-05,5.52872E-05
1996-02-27,16.63,-0.00525826,5.01261E-05,5.49208E-05
1996-02-28,16.72,-0.003841631,4.97244E-05,4.98574E-05
1996-02-29,17.04,-0.00639925,7.31145E-05,7.86253E-05
1996-03-01,16.72,0.005840365,7.71912E-05,8.2245E-05
1996-03-04,16.67,0.009474202,3.40044E-05,3.67875E-05
1996-03-05,16.1,0.007860242,2.65072E-05,2.68801E-05
1996-03-06,16.56,-0.005417413,2.69902E-05,2.91454E-05
1996-03-07,16.49,0.002237857,2.6242E-05,2.77005E-05
1996-03-08,20.7,-0.031084141,0.000116358,0.000106601
1996-03-11,20.33,0.011401235,9.1243E-05,8.88873E-05
1996-03-12,19.09,-0.005715778,9.55644E-05,0.00010003
1996-03-13,18.13,0.002149206,3.66274E-05,3.88335E-05
1996-03-14,16.93,0.005703541,1.79353E-05,1.8532E-05
1996-03-15,16.54,-0.000576688,1.88174E-05,2.03119E-05
1996-03-18,17.31,0.016667052,2.28403E-05,2.2417E-05
1996-03-19,18.35,-0.000828323,3.63394E-05,3.92631E-05
1996-03-20,18.66,-0.002689103,3.17701E-05,3.30987E-05
1996-03-21,17.74,-0.002094822,1.73387E-05,1.8675E-05
1996-03-22,17.05,0.002802373,7.83372E-06,8.00722E-06
1996-03-25,17.84,-0.000461389,1.98224E-05,2.09908E-05
1996-03-26,17.8,0.003669842,2.06541E-05,2.189E-05
1996-03-27,17.89,-0.005856645,2.17182E-05,2.18203E-05
1996-03-28,18.16,0.000446989,2.17173E-05,2.36067E-05
1996-03-29,18.88,-0.005206695,2.4281E-05,2.52228E-05
1996-04-01,17.9,0.01248448,1.321E-05,1.37069E-05
1996-04-02,16.45,0.001406448,9.52629E-06,1.01751E-05
1996-04-03,16.33,0.00183153,5.84149E-06,6.21724E-06
1996-04-04,16.18,-0.00024401,6.07418E-06,6.32077E-06
1996-04-11,19.65,-0.038005522,0.000123295,0.000121639
1996-04-12,17.38,0.00872321,2.44072E-05,2.46898E-05
1996-04-15,16.83,0.00903696,1.22378E-05,1.22346E-05
1996-04-16,16.45,0.003899064,1.55084E-05,1.59325E-05
1996-04-17,17.07,-0.005269674,2.6878E-05,2.70601E-05
1996-04-18,16.41,0.00311231,3.05483E-05,3.27161E-05
1996-04-19,15.12,0.002265885,1.18484E-05,1.22836E-05
1996-04-22,15.38,0.004346656,1.44699E-05,1.56332E-05
1996-04-23,15.01,0.005694689,9.09152E-06,1.00166E-05
1996-04-24,14.91,-0.002150935,1.35844E-05,1.40044E-05
1996-04-25,14.72,0.004128781,2.56478E-05,2.50637E-05
1996-04-26,14.75,0.000903294,1.705E-05,1.81689E-05
1996-04-29,15.45,0.001055361,7.15381E-06,7.58804E-06
1996-04-30,15.83,3.05736E-05,1.16689E-05,1.23549E-05
1996-05-01,16.07,0.000687658,1.37104E-05,1.43308E-05
1996-05-02,18.62,-0.017319385,3.16593E-05,3.18017E-05
1996-05-03,16.7,-0.002723716,3.56052E-05,3.67215E-05
1996-05-06,16.92,-0.001278812,4.2718E-05,4.40708E-05
1996-05-07,16.87,-0.003987277,1.8919E-05,2.00813E-05
1996-05-08,15.78,0.01016345,7.76418E-05,8.10793E-05
1996-05-09,16.99,0.001007588,2.88142E-05,2.95131E-05
1996-05-10,15.61,0.010265828,1.07844E-05,1.09239E-05
1996-05-13,15.16,0.014342511,1.5783E-05,1.58353E-05
1996-05-14,14.9,0.006163789,1.85514E-05,1.88306E-05
1996-05-15,15.59,-0.000270469,2.2977E-05,2.35606E-05
1996-05-16,15.71,-0.000856969,1.63286E-05,1.71119E-05
1996-05-17,15.13,0.00611797,9.86637E-06,1.04824E-05
1996-05-20,15.8,0.006288767,1.56154E-05,1.64572E-05
1996-05-21,16,-0.000579534,1.22455E-05,1.33285E-05
1996-05-22,15.5,0.008377911,2.74092E-05,2.88152E-05
1996-05-23,16.17,-0.003573489,3.50561E-05,3.54087E-05
1996-05-24,15.54,0.003706142,1.44628E-05,1.52706E-05
1996-05-28,16.92,-0.009298674,3.58203E-05,3.7306E-05
1996-05-29,17.15,-0.006417166,2.57887E-05,2.56293E-05
1996-05-30,16.02,0.005628435,4.40548E-05,4.63786E-05
1996-05-31,16.07,-0.003848396,4.40882E-05,4.6455E-05
1996-06-03,16.86,-0.002124445,2.36937E-05,2.5683E-05
1996-06-04,16.18,0.007252356,9.11362E-06,9.45365E-06
1996-06-05,16.04,0.008704718,8.76967E-06,9.14227E-06
1996-06-06,16.84,-0.00800614,1.89635E-05,2.03031E-05
1996-06-07,16.1,0.000415942,5.50281E-05,5.57649E-05
1996-06-10,16.78,-0.00170944,1.75966E-05,1.74755E-05
1996-06-12,17,-0.004652558,1.80129E-05,1.82752E-05
1996-06-13,17.12,-0.001675443,2.30525E-05,2.40054E-05
1996-06-14,18.64,-0.003103986,1.54788E-05,1.67999E-05
1996-06-17,17.46,-0.001021773,1.99734E-05,1.93784E-05
1996-06-18,17.45,-0.004686461,9.88735E-06,1.05133E-05
1996-06-19,17.54,-0.000181269,1.60697E-05,1.65495E-05
1996-06-20,16.97,0.000241685,2.44405E-05,2.59612E-05
1996-06-21,15.8,0.007118539,1.27143E-05,1.24838E-05
1996-06-24,15.91,0.003024679,1.37771E-05,1.39783E-05
1996-06-27,14.19,-0.000448632,2.3392E-05,2.36675E-05
1996-06-28,13.68,0.003106381,1.70925E-05,1.75924E-05
1996-07-01,13.78,0.007797976,6.90361E-06,7.24176E-06
1996-07-02,14.19,-0.003364237,1.12895E-05,1.18488E-05
1996-07-03,14.21,-0.001797907,1.07842E-05,1.17029E-05
1996-07-05,16.09,-0.022499896,1.56592E-05,1.14354E-05
1996-07-08,16.42,-0.007481065,3.30327E-05,3.05155E-05
1996-07-09,15.49,0.003381043,1.0411E-05,1.21327E-05
1996-07-10,15.51,0.001998765,4.66203E-05,4.47779E-05
1996-07-11,17.81,-0.015963711,0.000120346,0.000120399
1996-07-12,17.09,0.000805041,6.52815E-05,6.72255E-05
1996-07-15,20.11,-0.02569127,8.82334E-05,8.32498E-05
1996-07-16,20.1,-0.002273144,0.000492818,0.000485511
1996-07-17,19.22,0.009030193,5.2389E-05,5.51243E-05
1996-07-18,17.93,0.014855904,6.1889E-05,6.22047E-05
1996-07-19,17.26,-0.007533433,5.68379E-05,5.79817E-05
1996-07-22,20.41,-0.007795717,6.13276E-05,6.55548E-05
1996-07-23,21.55,-0.01094693,0.000107045,0.000106032
1996-07-24,21.44,-0.000351012,0.000134838,0.00014159
1996-07-25,19.39,0.007187069,1.9069E-05,2.05187E-05
1996-07-26,17.45,0.007466078,1.69722E-05,1.7783E-05
1996-07-29,20.09,-0.007878097,9.91337E-06,1.00442E-05
1996-07-30,20.53,0.006871142,2.38556E-05,2.4089E-05
1996-07-31,19.46,0.007355684,2.30425E-05,2.29092E-05
1996-08-01,18.76,0.015597699,5.11971E-05,5.77856E-05
1996-08-02,16.19,0.019017716,1.77166E-05,1.8687E-05
1996-08-05,17.36,-0.003417204,1.18615E-05,1.22436E-05
1996-08-06,16.93,0.00325115,1.59089E-05,1.62607E-05
1996-08-07,16.24,0.002683675,2.12579E-05,2.1763E-05
1996-08-08,16.04,-0.002366687,1.25214E-05,1.32586E-05
1996-08-09,15.77,-0.000754899,2.02179E-05,1.97653E-05
1996-08-12,15.57,0.005542767,2.05602E-05,2.15396E-05
1996-08-13,16.41,-0.008401446,1.59924E-05,1.6299E-05
1996-08-14,15.96,0.002813367,1.91823E-05,2.03342E-05
1996-08-15,15.46,0.000332241,1.21496E-05,1.2235E-05
1996-08-16,14.81,0.004414353,6.75239E-06,6.8434E-06
1996-08-19,15.27,0.002057382,5.7644E-06,5.9034E-06
1996-08-20,14.73,-0.001336066,8.71532E-06,8.701E-06
1996-08-21,14.52,-0.000931798,1.05115E-05,1.04808E-05
1996-08-22,13.71,0.008399825,1.08463E-05,1.12275E-05
1996-08-23,14.18,-0.005337173,1.58765E-05,1.72433E-05
1996-08-26,15.38,-0.00485354,7.67008E-06,7.89444E-06
1996-08-27,15.11,0.003773674,4.55532E-06,4.64185E-06
1996-08-28,15.1,-0.002358757,7.04416E-06,7.45293E-06
1996-08-29,16.22,-0.011238878,2.71428E-05,2.69742E-05
1996-08-30,17.01,-0.008248225,3.78851E-05,4.19977E-05
1996-09-03,18.47,0.004193713,4.29874E-05,4.5616E-05
1996-09-04,18.64,0.001343163,1.2603E-05,1.31555E-05
1996-09-05,20.51,-0.009455647,1.69638E-05,1.76326E-05
1996-09-06,17.1,0.009577663,2.95742E-05,2.95634E-05
1996-09-09,16.36,0.012232522,8.42423E-06,8.79878E-06
1996-09-10,16.25,7.53256E-05,2.1991E-05,2.25184E-05
1996-09-11,16.06,0.004869042,1.35005E-05,1.41582E-05
1996-09-12,15.97,0.006097853,1.02397E-05,1.04618E-05
1996-09-13,15.2,0.013879658,7.04173E-06,7.57781E-06
1996-09-16,15.43,0.00508616,9.62581E-06,9.60424E-06
1996-09-17,15.74,-0.001521669,3.14627E-05,3.05689E-05
1996-09-18,15.86,-0.002154778,1.47805E-05,1.57185E-05
1996-09-19,16.03,0.002257271,9.59429E-06,1.03123E-05
1996-09-20,15.65,0.005853903,7.87984E-06,8.41588E-06
1996-09-23,16.46,-0.00080088,1.20736E-05,1.24381E-05
1996-09-24,16.45,-0.001253571,7.34503E-05,7.71076E-05
1996-09-25,16.22,0.000320831,1.2757E-05,1.29156E-05
1996-09-26,16.11,4.37417E-05,2.47158E-05,2.53044E-05
1996-09-27,16.1,0.000495605,1.35659E-05,1.44347E-05
1996-09-30,16.95,0.001645396,2.12328E-05,2.26793E-05
1996-10-01,17.05,0.002542848,1.43341E-05,1.55658E-05
1996-10-02,16.78,0.007128995,1.03367E-05,1.10264E-05
1996-10-03,16.77,-0.001788316,9.64696E-06,9.93305E-06
1996-10-04,14.8,0.012465823,1.35905E-05,1.39892E-05
1996-10-07,15.11,0.002733409,9.82621E-06,1.05426E-05
