A,B
63920291.03,0.443172119
65225325.97,0.465620306
59465187.26,0.45151678
59296895.42,0.444107654
59709042.51,0.454614573
64931282.49,0.444805406
66135988.11,0.431656931
60250174.2,0.420790364
63555827.95,0.439665228
61315996.78,0.449993867
65837803.61,0.466463094
72085116.66,0.474669645
68917002.47,0.462516901
77147989,0.493457231
67854069.99,0.461679695
70744580.38,0.470834021
65187575.27,0.458297557
69505999.75,0.448767075
70663448.56,0.463853547
69544919.32,0.475554881
68332019.32,0.466574548
77805473.66,0.474668541
71881467.78,0.471169023
89784981.99,0.507145962
66906881.31,0.466102534
71353297.39,0.484631308
68951296.42,0.478686876
73447775.32,0.487221696
66707450.55,0.479706839
71092483.34,0.490761492
67785486.89,0.48938561
76360351.12,0.51922381
73219189.54,0.509993685
80018975.15,0.508149624
74876828.17,0.513943332
81754422.96,0.539693251
66280870.27,0.484073914
76061962.16,0.524435998
71790756.97,0.512974228
73235394.39,0.522158022
72284182.42,0.533571573
81385973.66,0.570464009
70672567.51,0.523303528
71871357.73,0.521832436
74841604.41,0.53485708
75961573.03,0.541355306
77148377.08,0.554322588
80913442.83,0.566043522
74499174.1,0.553475223
78890769.54,0.568801936
77745124.34,0.571257364
77645859.25,0.563163775
78981839.42,0.557314402
75771918.1,0.566037179
73370599.32,0.562278431
85132948.57,0.570580766
83171466.38,0.55910085
84659622.07,0.574647587
86295274.14,0.587067854
90819319.82,0.588829148
88690387.94,0.585205396
96143899.61,0.612887468
92496433.37,0.633075825
87720585.6,0.651681906
91275302.18,0.601094715
97240202.13,0.608994821
93488116.89,0.607926375
90841005.34,0.587443465
97180563.13,0.589444866
97253271.27,0.589157085
100106296.9,0.593442556
99377047.75,0.59995991
98312224.74,0.577820001
93911561.69,0.587747011
91286170.71,0.573025307
96625531.45,0.582848693
93827661.2,0.570724758
96723179.49,0.589220656
97511332.6,0.597582829
94374223.51,0.61374644
95930381.5,0.606542109
99235246.51,0.603829394
98545986.19,0.60621331
86960530.58,0.603610068
92838085.98,0.585999255
106139123.4,0.59810608
99514231.34,0.602172558
97491899.58,0.61242742
101078907.4,0.617542473
100676370.4,0.633838977
105892604.5,0.634798947
109344221.6,0.636329679
106515193.3,0.635480761
101270363.6,0.667532837
106919869.5,0.644766495
102759401.5,0.647170767
100080314.8,0.642572321
120144214.9,0.672738221
117001552.4,0.650363403
109936639.4,0.666864981
106867831.4,0.6528116
110768479.9,0.66347479
111248087,0.644088479
107766583.2,0.663848507
106944951.1,0.666946369
116922538,0.671452097
116929166.3,0.67360581
118322170.8,0.684687311
119180127.7,0.686217248
123629831.1,0.707525923
128121905.3,0.688739968
121392277.5,0.676394612
117340416.7,0.668117779
132253735.4,0.693774787
127282414.3,0.701771793
127606918,0.716625057
145855247.8,0.722264499
123786025.7,0.726081136
107505514.1,0.727151936
114105802.1,0.727365899
122852247,0.722781336
125514486.6,0.725633853
129374556.5,0.726402473
134507250,0.729389276
140132182.7,0.737372663
139426165.5,0.751912531
140747603.2,0.750577938
144735146.6,0.75204628
146210071.9,0.744892932
144802193.9,0.745007907
148777065.1,0.750403423
143000540.2,0.757112412
159160354.5,0.746152462
157064844.6,0.758890831
148509592.9,0.74202056
138847419,0.728734649
128760344,0.724004769
124836265.7,0.738793816
143600826.8,0.732132452
136534008,0.731478908
143567359.4,0.741962617
146599263,0.747466519
146050135.9,0.762666033
139945854.4,0.780799636
163301829.4,0.757380074
138152736.7,0.762359294
151904351.2,0.752218455
137297964.9,0.735398516
139436374.5,0.731078905
159714693.9,0.756752386
161295023.2,0.76067774
151185182.8,0.755032789
169297943.1,0.765419103
153142611.7,0.748010782
144463864.9,0.746977006
150570447.2,0.756900456
143683134.4,0.766150913
164921313,0.771893558
181718705.7,0.781359858
170591764.8,0.778488211
169753211,0.784008363
183454573.3,0.801628722
188956773.3,0.799398967
184997740.7,0.79964466
190390231.9,0.808116487
196131975.1,0.807544504
179332339.2,0.789492927
