date,CPI,PCE,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,HWI,HWIURATIO,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,AMDMNOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,AMBSL,TOTRESNS,BUSLOANS,REALLN,NONREVSL,CONSPI,S.P.500,S.P..indust,S.P.div.yield,S.P.PE.ratio,FEDFUNDS,CP3Mx,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,COMPAPFFx,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,WPSFD49207,WPSFD49502,WPSID61,WPSID62,OILPRICEx,PPICMM,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUUR0000SAD,CUSR0000SAS,CPIULFSL,CUUR0000SA0L2,CUSR0000SA0L5,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,MZMSL,DTCOLNVHFNM,DTCTHFNM,INVEST
2/1/1960,0.001361007,0.000975974,0.000668896,0.000488227,0.004379608,0.014435267,0.003696454,-0.008939411,-0.005684503,-0.00343964,-0.011455025,-0.013857354,-0.010291061,0.006462611,-0.013040789,-0.016701892,-0.00614775,-0.007790982,-0.001267983,0.010372931,-0.9508,0,0.000974379,-0.000188527,0.004168995,-0.4,-0.4,-0.135102485,-0.010582109,-0.084332405,-0.088224233,-0.080580487,-0.019999354,0.004393914,0.005831815,0.007117468,0.010536811,0.004959949,0.007400688,0.001405701,0.003587268,0.003055358,0.001678948,0.004277044,0.003998406,0.002284616,39.7,-0.2,40.3,7.31521839,5.59471138,5.948034989,6.188264123,5.897153868,6.992096427,5.446737372,5.545177444,5.720311777,5.686975356,-0.00335896,-0.023230848,0.011130252,0.020662252,-0.000714541,0.001005531,-0.000295523,-0.002864525,-0.034218125,0.003981556,0.002639239,0.006211078,0.000611058,-0.039544736,-0.043824195,0.195475953,-0.052881363,-0.02,-0.25,-0.39,-0.44,-0.37,-0.23,-0.23,-0.05,0,0.69,-0.01,0.33,0.69,0.72,0.52,0.59,1.37,0.002492961,0.000720962,0.001249309,-0.001574886,0,0,0.003241494,0,0,0.00291971,0.004405293,0,0.004555817,-0.002989539,0,0.004210533,0,0.003220615,0.003338901,0.001628382,5.00E-05,0.001598466,0.00449439,0.007751977,0.004683849,0.001045843,0.004607679,0.005743271,-0.028434354
3/1/1960,0,0.000573658,0.001837161,0.00084274,0.014063753,-0.028216852,-0.001101989,-0.009020046,-0.003425489,-0.001147799,0.001152007,-0.019963117,0.009152826,0.002152051,-0.016549171,-0.032089283,0.000438237,-0.012365705,0.037317646,0.010269041,-1.3687,-2,-0.001849022,-0.008008896,-0.014536724,0.6,-0.1,0.152052043,0.079893909,0.131299415,0.230880534,0.025317808,0.132721098,-0.001009443,-0.011904292,-0.002463591,-0.057987258,-0.00368582,-0.006109671,-0.000156091,0.005057659,-0.000987477,0.001638917,-0.000717553,0.002789402,0.023619874,39.5,-0.1,40,7.011213987,4.983606622,5.327876169,6.059123196,5.796057751,6.86171134,5.111987788,5.241747015,5.609471795,5.789960171,-0.011126046,-0.0226252,0.00816158,0.030993377,-0.000715052,0.003010539,0.002951306,-0.000614896,-0.009987668,0.0057841,0.003251496,0.008801806,0.000868739,-0.013718627,-0.015045504,0.113781872,-0.021169864,-0.13,-0.17,-0.65,-0.69,-0.64,-0.38,-0.24,-0.07,-0.09,0.65,-0.53,-0.23,0.18,0.47,0.41,0.65,1.41,-0.000161393,0,0.000927048,-0.000735797,0.009022618,0.011976191,0,0.009820046,0,-0.00291971,0,-0.003338901,0.004535155,0.002989539,-0.005208345,0.004192878,0,0,0,-0.002929332,0.001798292,0.00055886,0.00447428,0.037883318,0,0.002783579,0.008079764,0.006694173,-0.024944361
4/1/1960,0.004410525,0.003663637,0.003497963,0.003584788,0.015352421,0.00984836,0.025903391,-0.007957796,0.002286273,0.001147799,0.006878535,-0.001189753,0.010197775,-0.010785352,-0.023634453,-0.036532031,-0.008798413,-0.007950248,0.001221565,0.030186644,-0.9828,-1,3.02E-05,0.017104593,0.019689533,-0.2,-0.4,0.04058187,-0.111330683,-0.067950662,-0.109866478,-0.020666637,-0.030758216,0.006479386,0.003761049,0.005354184,0.041807278,-0.003379997,-0.006363609,0.000936184,0.007977218,0.014445191,0.003010092,0.017239506,0.002781643,0.001055162,39.8,-0.4,40,7.161622003,5.384495063,5.66296048,6.144185634,5.758901774,6.923628628,5.241747015,5.497168225,5.655991811,5.693732139,-0.010788158,-0.018693813,0.000105558,-0.010331125,-0.001431639,0.00233528,-0.002064999,0.000589283,0.00508907,0.012347859,0.00164335,0.01481162,0.001046064,0.012821846,0.012693747,-0.038945869,0.003859329,0.08,-0.33,-0.08,-0.06,0.02,-0.02,0.03,-0.04,-0.05,0.24,-0.69,-0.37,0.12,0.37,0.36,0.53,1.28,0.000438005,-0.0010815,0.001282188,0.012539349,0,0,-0.003241494,0.003252035,0,-0.00292826,0.002195391,0,0.00451468,0.002980628,0,0,0,0.003210276,0.00332779,0.001209389,0.006268677,0.002073035,0,-0.030190972,0,0.00173581,0.01675794,0.012145898,-0.000808384
5/1/1960,0.001015057,0.001027984,0.00253254,0.002559013,-0.020348789,-0.031471352,-0.01504683,-0.001144352,0.005690964,0.006863377,0.005698103,0.009457937,0.003378764,0.003243548,-0.009157219,-0.013615609,0.001563987,-0.005718326,-0.012270039,-0.027920329,-0.7882,0,0.000150002,0.000675263,0.001484669,-0.1,-0.7,-0.00984659,0.069391993,-0.117085734,-0.130770231,-0.102528746,0.057584402,-0.006203982,-0.003709432,-0.010299649,0.005643169,-0.005059411,-0.007930083,-0.000936184,-0.007578267,-0.010948527,-0.00115094,-0.01313846,0.001189768,-0.012024193,39.7,0.3,40.1,7.147559271,5.370638028,5.697093487,6.126869184,5.703782475,6.958448393,5.411646052,5.480638923,5.710427017,5.655991811,0.012030517,-0.011083605,0.00599844,0.030993377,0,0.002662231,0.001671994,0.001561201,0.005008404,0.009271905,-0.000301858,0.004143098,8.04E-05,-0.009193395,-0.010481922,0.038254125,-0.0112633,-0.07,0.09,0.06,0.03,0.17,0.2,0.07,0.01,0.08,0.4,-0.56,-0.27,0.36,0.64,0.5,0.61,1.43,-0.003301285,0.000720945,-0.00124655,0.015558502,0,0,0,0,0,0,0.002190581,-0.003350087,0,0,-0.005235614,0.004175371,0,0,0,-0.000109884,-0.000446462,0.002783855,0,0.011428696,0,0.002771044,0.011930656,0.010078782,0.002989714
6/1/1960,0.001351808,0.000456543,0.000456006,-0.000440742,-0.000260913,0.008495852,-0.001364294,-0.012650218,-0.0114145,-0.011466659,-0.006842209,-0.010644926,-0.005633467,-0.013037797,-0.016223,-0.03252516,0.000876215,-0.011535695,0.006151637,-0.004540389,-1.2475,-1,-0.000822492,0.004413879,0.001678957,0.3,0,0.011574203,0.095817923,0.069076515,0.11560201,0.017834868,0.013852713,-0.002315752,-0.006940516,-0.005556382,-0.007309003,-0.007022998,-0.009974325,-0.002813821,0.000227901,-0.000895416,-0.001821934,-0.000375379,0.001979807,0,39.5,-0.2,39.9,7.128495946,5.33753808,5.777652323,6.011267174,5.730099783,6.864847778,5.170483995,5.361292166,5.65248918,5.648974238,0.018965583,-0.004504926,0.002200913,0.010331126,0,0.004641918,0.003237678,0.000178998,0.00503807,0.011278068,-0.001086003,0.007497149,0.000901478,0.036277093,0.037035092,-0.119780118,0.034284162,-0.53,-0.44,-0.83,-0.84,-0.85,-0.37,-0.2,-0.01,-0.02,0.49,-0.86,-0.58,0.04,0.8,0.83,1.13,1.94,-0.002199202,0.002165258,-0.001176743,0.004386643,0,0,0.003241494,-0.013072082,0,0.00292826,0,0,0,0,0,0,0,0.003200003,0,-0.002732668,-0.000198491,0.00190446,0,0,0,0.003797691,0.017056881,0.017498319,-0.006990892
7/1/1960,-0.002028398,0.00182409,0.001035604,0.001101492,0.002033316,-0.006999284,-0.010098878,-0.003476504,-0.00576046,-0.005783016,-0.009194439,-0.038795074,0.002254702,-0.012109835,0.001169153,0.005887285,-0.008324751,-0.002322302,0.00976981,0.024722096,-0.4961,-1,-0.000439972,-0.002706207,-0.00392196,0.1,0.7,-0.016826623,0.001690617,0.075528842,0.128880858,0.010050336,0.037425882,-0.000791525,-0.003644888,-0.028103849,0.000999833,-0.003432757,-0.00474798,-0.001566662,0.000768782,-0.000448009,0.000632476,0.000446863,0.00315956,0.001185256,39.6,0,39.9,7.087573706,5.288267031,5.723585102,5.976350909,5.700443573,6.906754779,5.38907173,5.411646052,5.590986981,5.66296048,-0.034640298,-0.014759388,0.003970332,0.010331126,0.004288784,0.005936693,0.008000043,0.002298558,0.011189688,0.000952241,0.000356138,0.006140006,0.00045726,-0.025111841,-0.030091207,0.086601657,-0.020266514,-0.09,-0.42,-0.16,-0.03,-0.16,-0.33,-0.25,-0.04,-0.04,0.16,-0.93,-0.52,-0.03,0.56,0.67,1.18,1.99,-0.000347685,-0.005404427,0.002031688,-0.003875579,0.002989539,0.00297177,-0.003241494,0,0,0,0.002185793,0,0.00449439,-0.002980628,-0.002628122,0.00415801,0.003372684,0,0,9.18E-05,0.00158683,0.002533651,0,0.007547206,0,0.005155536,0.00613107,0.01420745,0.025185049
8/1/1960,0.002028398,0.001707068,-0.00053838,-0.001542428,-0.00093794,-0.001439497,0.003414288,-0.001164299,-0.002308725,0,0.002308003,0.011063691,2.49E-06,-0.013383198,-0.004680339,-0.005887285,-0.005267083,-0.004660845,0.003638124,-0.007798975,-0.677,-1,-0.000515034,0.001375496,-0.000212437,0.1,-0.4,0.021419053,0.083415392,0.006493529,-0.007707167,0.024692613,0.079064066,-0.000607875,-0.003396476,0.029276183,-0.009707189,-0.003444581,-0.003103871,-0.003927426,0.000910384,-8.96E-05,0.008628565,-0.00087604,0.00275645,0.003547361,39.3,0,39.7,7.203405521,5.433722004,5.645446898,6.171700597,5.866468057,6.901737207,5.33753808,5.438079309,5.598421959,5.655991811,0.059088916,0.007731757,-0.001878719,0.010331126,0.007815315,0.009165367,0.007165019,0.001911437,-0.000702456,-0.001714203,0.001566937,0.003407147,0.00030909,0.011927155,0.011911893,-0.041403657,0.016672181,-0.25,-0.05,0,-0.12,-0.25,-0.17,-0.1,-0.13,-0.14,0.36,-0.68,-0.39,-0.03,0.64,0.82,1.3,2.1,-0.000649336,-0.001436224,0.000640729,-0.008930005,-0.002989539,-0.00297177,0,-0.019934215,0,0,0,0,0,0.002980628,0,0,0,0,0.003316753,0.000220337,0.002227228,0.001738169,0.00445435,0.007490672,0.004662013,0.008533931,0.003559175,0.011906477,0.001071999
9/1/1960,0,0.000625195,0.00149019,0.000529101,0.004784698,0.016323445,-0.000935016,-0.010519126,-0.008134827,-0.005816654,-0.004621345,-0.012299129,-0.003390211,-0.00901144,-0.016544445,-0.013070665,-0.007081628,-0.010569279,0.00843927,0,-1.1318,-1,-0.00011588,0.004428832,0.00562947,-0.1,0.7,-0.040320975,-0.059217299,0.057637743,-0.001936109,0.128028474,-0.021341275,-0.000792634,-0.002515593,-0.006612323,-0.004720171,-0.001955035,-0.002445533,-0.001260041,0.000142173,-0.001524869,-0.00569465,-0.000214658,0.002356639,0.002593424,39.1,-0.1,39.4,7.00033446,5.267858159,5.676753802,5.950642553,5.424950017,6.891625897,5.323009979,5.393627546,5.575949103,5.686975356,-0.007032554,0.002641153,0.001670147,-0.020662252,-0.000707965,0.00487568,0.004812329,0.00355827,0.003237995,0.00183015,0.002055573,0.007057646,0.000687551,-0.030544955,-0.033924556,0.10702825,-0.025609319,-0.38,0.05,0.18,0.24,0.12,-0.01,0,-0.03,-0.07,0.79,-0.12,0.23,0.47,1.01,1.2,1.65,2.41,-0.000905135,0,0.000889221,0.002779925,0,0.00297177,0,0.006688988,0,0,0.002181026,-0.006734032,0.00447428,0,-0.005277057,0.004140793,0,0,0,-0.004379112,0.00054368,0.002129086,0.004434597,0,0.00464038,0.004409029,-0.003431843,0.00485406,0.012590037
10/1/1960,0.00471699,0.001135718,0.002850005,0.003080853,0.004813549,-0.019050783,0.008765738,-0.001173781,0.005816765,0.004656864,0.010365259,0.011077292,0.01013139,-0.007959264,-0.003582443,-0.01203682,-0.006048985,-0.001183306,0.001196744,0.005575438,-0.39,-2,-0.001227992,-0.003813337,-0.009628654,0.6,0.6,0.051710619,0.055324729,0.191276588,0.188439753,0.194408444,0.058264396,-0.001550216,-0.005525021,-0.001623018,-0.00101437,-0.006478868,-0.00928055,-0.002524855,0.000596905,-0.000538745,-0.001744456,0.001001341,-0.000392388,0.000941398,39.4,0.1,39.7,7.127693699,5.655991811,5.605802066,5.955837369,5.710427017,6.879355804,5.278114659,5.446737372,5.572154032,5.638354669,-0.076310969,-0.018353424,-0.000834725,0.010331126,-0.002126906,0.00356045,-0.001152849,0.002128901,0.01082482,0.002993057,0.002962912,0.004442259,6.35E-05,-0.019901154,-0.018457776,0.071512461,-0.021800747,-0.13,-0.09,-0.18,-0.1,-0.03,0.15,0.09,0.05,0.1,0.83,-0.17,0.26,0.57,1.29,1.42,1.83,2.64,0.000348226,0,-0.00039116,0.006252262,0.008941937,0.008862687,0,0.006644543,0,0.00291971,0.002176279,0,0,0.00297177,0.00790518,0,0,0.006369448,0.003305788,-0.000830143,0.001678598,0.001259545,0.004415018,0.003724399,0,0.003041057,-0.005361943,-0.000392696,0.024971324
11/1/1960,0.001007895,0.003399437,-0.004547341,-0.006127011,-0.003465491,-0.009839838,-0.014394271,-0.014219515,-0.010496276,-0.011685197,-0.018498465,-0.033606934,-0.01013139,-0.002292252,-0.026667751,-0.043299596,-0.010527234,-0.019093473,0.003590236,-0.015694386,-1.7563,0,-0.00013557,0.007910362,0.007241513,0,0.4,-0.027556279,0.064197199,0.028194239,0.077198811,-0.0286758,0.022851351,-0.003367069,-0.00810579,-0.016226631,-0.006788892,-0.007843694,-0.011297002,-0.003006569,-0.000824391,-0.003779362,-0.001784719,-0.003885795,0.003525959,0.001645317,39,-0.3,39.3,7.127693699,5.710427017,5.624017506,5.96870756,5.620400866,6.886531643,5.323009979,5.407171771,5.613128106,5.624017506,0.00197031,-0.010875725,0.000521785,0.010331126,0,0.004513225,0.003550356,0.002654768,0.011762971,0.003797744,5.72E-05,0.004100321,0.000737732,0.031870829,0.034375956,-0.113843661,0.036647382,-0.03,-0.02,0.07,-0.07,0.04,0.05,0.04,0.01,-0.03,0.84,-0.07,0.22,0.64,1.37,1.49,1.87,2.64,-0.000208921,0.003234372,0.000711086,-0.001943238,0,0,-0.003252035,0,0,-0.026589454,-0.002176279,0,0.00445435,0.002962965,-0.002628122,0.004123717,0,0.003169575,0,0.00653026,0.003496249,0.00235738,-0.004415018,0,-0.00464038,0.006054509,-0.005519557,0.002027271,0.015798889
